CODE,LATITUDE,LONGITUDE,BANCO,BAR,RESTAURANTE,IGREJA,SUPERMERCADO,SAUDE,CRIME_BANCO,COLETIVO,CONDOMINIO_RESIDENCIAL,ESTABELECIMENTO_COMERCIAL,TRANSEUNTE,METRO,PONTO_ONIBUS,PF,PG,PH,FAVELAS,AREAS_VERDES,HOSPEDAGEM
35138903,-23.591,-46.6705,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35102829,-23.5393,-46.6713,0.1,0.1,0.4,0.0,0.0,0.2,0,0,0,0,6,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
35167782,-23.4818,-46.7106,0.0,0.2,0.0,0.2,0.0,0.0,0,0,0,1,7,0.0,0.10483870967741936,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
35805063,-23.4659,-46.6649,0.0,0.2,0.0,0.4,0.0,0.0,0,0,0,3,14,0.0,0.16129032258064516,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
35290543,-23.4404,-46.7493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2,0.0,0.04032258064516129,0.3333333333333333,0.5,0.2727272727272727,0.0,0.0,0.0
35038097,-23.4525,-46.7379,0.0,0.1,0.2,0.0,0.0,0.0,0,1,0,0,6,0.0,0.21774193548387097,0.16666666666666666,0.0,0.09090909090909091,0.25,0.0,0.0
35151518,-23.4539,-46.7322,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0,0,8,0.0,0.1532258064516129,0.0,0.25,0.2727272727272727,0.5,0.0,0.0
35287040,-23.4338,-46.7281,0.0,0.0,0.0,0.6,0.0,0.0,0,0,0,0,3,0.0,0.12903225806451613,0.3333333333333333,0.0,0.45454545454545453,0.5,0.0,0.0
35299583,-23.4099,-46.7566,0.0,0.0,0.0,0.2,0.0,0.0,0,1,0,1,9,0.0,0.25806451612903225,0.16666666666666666,0.25,0.09090909090909091,0.0,1.0,0.0
35159281,-23.4076,-46.7538,0.2,0.2,0.0,0.2,0.0,0.0,0,0,0,4,10,0.0,0.13709677419354838,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
35124709,-23.4014,-46.7526,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,1,0.0,0.25,0.16666666666666666,0.25,0.18181818181818182,0.25,0.0,0.0
35901684,-23.4413,-46.7121,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,4,0.0,0.1774193548387097,0.0,0.75,0.36363636363636365,0.75,0.0,0.0
35130333,-23.452,-46.6857,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,7,0.0,1.0,0.3333333333333333,0.75,0.0,0.5,0.0,0.0
35923503,-23.6831,-46.6575,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0
35005113,-23.6732,-46.6597,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,2,10,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0
35004868,-23.681,-46.6365,0.1,0.7,0.0,0.2,1.0,0.0,0,1,0,2,17,0.0,0.5887096774193549,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
35139580,-23.6527,-46.6559,0.1,0.3,0.0,0.0,0.0,0.2,0,3,0,0,12,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0
35004583,-23.6514,-46.6495,0.0,0.2,0.0,0.2,0.0,0.0,0,1,0,5,17,0.0,0.4838709677419355,0.0,0.0,0.0,0.25,0.0,0.0
35107074,-23.6581,-46.6433,0.0,0.2,0.0,0.2,0.0,0.0,0,0,0,0,14,0.0,0.12096774193548387,0.0,0.0,0.0,0.75,0.0,0.0
35107050,-23.645,-46.6393,0.1,0.2,0.2,0.0,0.0,0.2,0,0,0,4,32,0.0,0.31451612903225806,0.0,0.0,0.0,0.0,0.0,0.0
35038210,-23.6493,-46.6362,0.1,0.0,0.0,0.2,0.0,0.0,0,0,0,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35004625,-23.6214,-46.6299,0.1,0.5,0.0,0.2,0.0,0.0,0,1,0,3,29,0.0,0.1774193548387097,0.0,0.0,0.0,0.0,0.0,0.0
35154155,-23.627,-46.6232,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,2,17,0.0,0.08064516129032258,0.0,0.0,0.0,0.25,0.0,0.0
35162498,-23.6331,-46.6084,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,16,0.0,0.04032258064516129,0.0,0.0,0.0,0.5,0.0,0.0
35107438,-23.6128,-46.6232,0.0,0.3,0.0,0.2,0.0,0.2,0,1,0,2,14,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0
35119234,-23.6012,-46.4899,0.0,0.2,0.0,0.2,0.0,0.0,0,0,0,0,12,0.0,0.12096774193548387,0.16666666666666666,0.0,0.0,0.0,1.0,0.0
35003244,-23.6156,-46.4712,0.0,0.3,0.0,0.2,0.0,0.0,0,0,0,3,9,0.0,0.20161290322580644,0.0,0.25,0.0,0.25,0.0,0.0
35923916,-23.6341,-46.4451,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,1,3,0.0,0.16129032258064516,0.5,0.5,0.18181818181818182,0.25,0.0,0.0
35909075,-23.6095,-46.4579,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,4,0.0,0.0967741935483871,0.8333333333333334,0.0,0.09090909090909091,0.25,0.0,0.0
35153084,-23.5973,-46.4409,0.0,0.3,0.0,0.6,0.0,0.0,0,0,0,5,17,0.0,0.29838709677419356,0.5,0.25,0.0,0.0,0.0,0.0
35398408,-23.6094,-46.4272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.04032258064516129,0.0,0.25,0.45454545454545453,0.25,0.0,0.0
35922146,-23.6233,-46.4162,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,1,0,0.0,0.07258064516129033,0.0,0.0,0.6363636363636364,0.0,0.0,0.0
35103548,-23.5567,-46.6604,1.0,0.4,0.8,0.0,0.0,1.0,0,7,0,12,141,1.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,1.0
35106926,-23.5601,-46.6366,0.0,0.7,1.0,0.0,0.0,0.2,0,4,0,10,100,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0
35001659,-23.54,-46.6135,0.6,1.0,0.2,0.2,0.0,0.0,0,0,0,8,62,0.0,0.10483870967741936,0.0,0.0,0.0,0.0,0.0,0.0
35001512,-23.5562,-46.597,0.0,0.3,0.2,0.2,0.0,0.0,0,0,0,3,27,0.0,0.07258064516129033,0.0,0.0,0.0,0.0,0.0,0.0
35392315,-23.5016,-46.635,0.1,0.6,0.2,0.0,0.0,0.0,0,0,0,1,8,0.0,0.056451612903225805,0.0,0.0,0.0,0.0,0.0,0.0
35000371,-23.4704,-46.6576,0.0,0.2,0.0,0.2,0.0,0.0,0,0,0,3,9,0.0,0.13709677419354838,0.0,0.0,0.0,0.0,0.0,0.0
35100444,-23.505,-46.6264,0.4,1.0,0.6,0.2,0.0,0.6,0,2,0,4,38,0.0,0.12903225806451613,0.0,0.0,0.0,0.25,0.0,0.0
35156231,-23.527,-46.6096,0.1,0.1,0.0,0.2,0.0,0.0,0,1,0,2,5,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0
35000760,-23.5083,-46.597,0.0,0.1,0.2,0.2,0.0,0.4,0,1,0,3,8,0.0,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0
35001302,-23.4632,-46.6222,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35906803,-23.4681,-46.6115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0.0,0.008064516129032258,0.0,0.0,0.09090909090909091,0.0,1.0,0.0
35101539,-23.5719,-46.5846,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35101734,-23.5898,-46.5735,0.1,0.3,0.0,0.0,0.0,0.2,0,0,0,1,9,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0
